;hash_id;name;price;latitude;longitude;category_main_cb;category_type_cb;category_sub_cb;type_of_flat;size_m
14069;1258099788;Prodej bytu 2+kk 80 m²;5354000;49.939896640187996;15.282278359812006;1;1;4;2+kk;80.0
14070;3103593548;Prodej bytu 2+kk 90 m²;6063000;49.939896640187996;15.282278359812006;1;1;4;2+kk;90.0
14071;193926220;Prodej bytu 2+kk 80 m²;6012000;49.939896640187996;15.282278359812006;1;1;4;2+kk;80.0
14072;2799178828;Prodej bytu 1+kk 65 m²;4734000;49.939896640187996;15.282278359812006;1;1;2;1+kk;65.0
14073;3187545164;Prodej bytu 2+kk 90 m²;6063000;49.939896640187996;15.282278359812006;1;1;4;2+kk;90.0
14074;3633255500;Prodej bytu 2+kk 83 m²;6127000;49.939896640187996;15.282278359812006;1;1;4;2+kk;83.0
14075;2124100940;Pronájem bytu 3+1 91 m²;17000;49.813911640187996;18.134265359812005;1;2;7;-;-
14076;1596970316;Prodej bytu 2+kk 83 m²;6127000;49.939896640187996;15.282278359812006;1;1;4;2+kk;83.0
14077;2839532876;Prodej bytu 2+kk 90 m²;6932000;49.939896640187996;15.282278359812006;1;1;4;2+kk;90.0
14078;3465680204;Prodej bytu 2+1 93 m²;6107000;50.120842640187995;14.134761359812007;1;1;5;2+1;93.0
14079;2408715596;Pronájem bytu 3+1 99 m²;15000;49.85411864018799;18.571633359812008;1;2;7;-;-
14080;747771212;Prodej bytu 4+1 104 m²;8963000;50.773518640187994;15.078639359812007;1;1;9;4+1;104.0
14081;3349210444;Prodej bytu 4+1 125 m²;2732000;49.80993364018799;16.717967359812008;1;1;9;4+1;125.0
14082;1284642124;Pronájem bytu 3+1 113 m²;20000;49.58190264018799;18.017900359812007;1;2;7;-;-
14083;1032983884;Prodej bytu 1+kk 34 m²;5378000;50.06844364018799;14.459121359812007;1;1;2;1+kk;34.0
14084;4254209356;Prodej bytu 2+kk 53 m²;9167000;50.06844364018799;14.459121359812007;1;1;4;2+kk;53.0
14085;2190611788;Prodej bytu 3+1 129 m²;4212000;50.143581640187996;16.482825359812008;1;1;7;3+1;129.0
14086;1156195660;Pronájem bytu 2+kk 84 m²;32000;50.047428640187995;14.416640359812007;1;2;4;-;-
14087;3048875340;Pronájem bytu 2+1 87 m²;18000;49.40645264018799;14.663289359812007;1;2;5;-;-
14088;612308300;Prodej bytu 1+kk 45 m²;6398000;50.089218640187994;14.527094359812006;1;1;2;1+kk;45.0
14089;2979140940;Prodej bytu 3+1 99 m²;7080000;50.00853364018799;15.206588359812006;1;1;7;3+1;99.0
14090;2084603212;Prodej bytu 1+kk 37 m²;5828000;50.014366640187994;14.608709359812007;1;1;2;1+kk;37.0
14091;2824475980;Prodej bytu 1+1 65 m²;7506000;50.03323764018799;14.502361359812006;1;1;3;1+1;65.0
14092;647107916;Pronájem bytu 2+1 93 m²;37000;50.063965640187995;14.438565359812007;1;2;5;-;-
14093;1854608716;Prodej bytu 3+kk 118 m²;3592000;49.020855640187996;17.831010359812005;1;1;6;3+kk;118.0
14094;932320588;Pronájem bytu 3+1 120 m²;19000;50.659313640187996;14.071165359812007;1;2;7;-;-
14095;4090184780;Prodej bytu 4+kk 192 m²;14560000;49.038113640187994;14.480006359812007;1;1;8;4+kk;192.0
14096;892519756;Pronájem bytu 2+kk 91 m²;15000;48.99006364018799;14.784775359812008;1;2;4;-;-
14097;3348239692;Prodej bytu 4+1 123 m²;3935000;50.589870640187996;13.637386359812007;1;1;9;4+1;123.0
